"item_id",qty_available,"stock_status","active_status"
"BUS740001C",55,"S","Y"
"BUS788890",0,"N","Y"
"BUT19001",10,"S","Y"
"BUT20100",35,"S","Y"
"BUT24211",270,"S","Y"
"BUT80013",72,"S","Y"
"CRK2500",0,"N","Y"
"CRK5510KC",0,"N","Y"
"DOS1010404",3,"S","Y"
"EOT512A651",13,"S","Y"
"GLK10019",0,"S","Y"
"GLK10022",0,"S","Y"
"GLK30009",0,"S","Y"
"GLK36006",0,"S","Y"
"HKS29M",123,"S","Y"
"HKS587A",114,"S","Y"
"HLTR33133",16,"S","Y"
"HOP1203",73,"S","Y"
"HOP1254",0,"N","Y"
"HOP1380",130,"S","Y"
"HOP905",15,"S","Y"
"HOP9501",0,"N","Y"
"HOPSA904",64,"S","Y"
"JTMCAS01",3,"S","Y"
"KER1660STX",0,"N","Y"
"KER1670BLK",6,"S","Y"
"KHRK820",45,"S","Y"
"KLBA163",0,"N","Y"
"KLBA171",0,"N","Y"
"KLBA182",0,"N","Y"
"KLBA184N",0,"N","Y"
"KLBCF22",0,"N","Y"
"KLBPOC226",39,"S","Y"
"KLBS10",0,"N","Y"
"LEU49861",11,"S","Y"
"LEU49864",0,"N","Y"
"LEU49908",0,"N","Y"
"LEU50000",0,"N","Y"
"LEU50033",0,"N","Y"
"LEU51709",0,"N","Y"
"LEU51730",0,"S","Y"
"LEU52234",0,"N","Y"
"LEU53560",0,"N","Y"
"LEU56928",2,"S","Y"
"LYM7631332",14,"S","Y"
"MAG108000032",0,"N","Y"
"MAGK3A036",7,"S","Y"
"MAGK3A112",4,"S","Y"
"MAGLMSA401",0,"N","Y"
"MAGLR00001",0,"N","Y"
"MAGS3D026",0,"N","Y"
"MECMGBRBDA13N",0,"N","Y"
"MECMGBRHP13B",216,"S","Y"
"MECMGCGOV10N",0,"S","Y"
"MECMGPT9210N",0,"N","Y"
"MECMGWPPKSTN",0,"N","Y"
"PAC00311",0,"N","Y"
"PAC00423",6,"S","Y"
"PAC00704",0,"N","Y"
"PAC00813",0,"N","Y"
"PAC01740",0,"N","Y"
"PAC02523",0,"N","Y"
"PAC02929",0,"N","Y"
"PAC03291",0,"N","Y"
"PAC03437",0,"N","Y"
"PAC04499",24,"S","Y"
"PEAPGMK9",48,"S","Y"
"PROAKA1",479,"S","Y"
"PROBRA04N",0,"N","Y"
"PROSPRA3",62,"S","Y"
"RUG90186",7,"S","Y"
"RUGKMSO2200",0,"N","Y"
"SIGMAG2294312",145,"S","Y"
"SNW350095",0,"N","Y"
